,uf,sexo,verd/legu,carne_verm,carne_fran,carne_peix,tomar_suco,suco_tipo,suco_natu,frutas,refri,refri_tipo,leite,leite_tipo,doces,lanches,consum_sal,feijao,diabetes,depressao,esquizo,transt_bipol,Transt_toc,saude,hipertensao,colesterol,medic_doenc,diabetes_idade,renda,idade
uf,1.0,-0.004038370377797072,0.19005664747375758,0.17844516516877232,-0.006481999449292471,-0.27861071834860657,0.08786977173246006,-0.03656504569588834,-0.10763503745828142,0.0694945371629736,0.08484837225272503,-0.05304547594792951,-0.04789853234981425,-0.05372102605739859,0.0872822812569729,0.07227608636860985,-0.05904804515254993,0.070880636584541,-0.023380426474610944,-0.0824600838839041,0.05440429359048241,-0.035515112206284276,-0.048217287070200086,-0.08504100214647273,-0.03645169439393484,-0.010903880593789633,0.021040225464093752,0.004449203809255321,0.2603054735064621,-0.06419511441366442
sexo,-0.004038370377797072,1.0,0.07532951708875452,-0.14414072266192327,0.05413384776064701,-0.0014653415662692045,-0.02666644628926137,-0.019516681376827074,0.04120090533247506,0.12195504145241931,-0.1081373676582407,-0.012307748276289743,0.053502584255021586,-0.055888393719200236,-0.011907522725819035,0.016849474134132437,0.07261617577551498,-0.12435993914507129,-0.030525520164342637,-0.14663473415507225,0.1373479260719368,0.04904940796214699,0.010465361445910237,0.07046539586499646,-0.07996454050101859,-0.09339274484223521,0.05186206694398197,0.0018813870275836099,-0.05990836932922864,-0.015589478100560912
verd/legu,0.19005664747375758,0.07532951708875452,1.0,0.061308046935155486,0.04438188055942026,0.004449391250745738,-0.054500235926579474,-0.0338526083048147,0.1779556895067218,0.3609614055354784,-0.07159870222207636,-0.04693374029467149,0.08795981069146722,-0.07502386255752556,-0.0068345219749268524,-0.08182267946429007,0.05672606448634017,0.07106759715899338,-0.029500774987752408,-0.03014781970351922,0.04916241176882193,0.052566753528638537,0.01450944855719598,-0.10249116449931107,-0.04944672355462901,-0.034136878211390526,0.11899766588830603,0.027458028535845846,0.2501533054122947,-0.03038752391540938
carne_verm,0.17844516516877232,-0.14414072266192327,0.061308046935155486,1.0,-0.19664484398235182,-0.2194238627089717,0.08108131444519831,0.012271484672319206,-0.010397118314881585,-0.02682471697405413,0.1789116959206241,0.012383088987916744,0.003135985093529816,0.05199944456562182,0.09142861434410228,0.03543355970374311,-0.1275939767240739,0.13225160551774687,0.051128101122671875,0.02937380498792309,0.039483283875654966,0.0013808383068949252,0.006995624790439469,-0.08771962769189542,0.06435436990146602,0.052215513759867334,-0.047591133922133544,-0.035769749932459946,0.11244940530449435,-0.004396407053294281
carne_fran,-0.006481999449292471,0.05413384776064701,0.04438188055942026,-0.19664484398235182,1.0,0.03355481428567697,0.028400410900469013,0.001831775610891602,0.06651235382271811,0.05680695419944356,0.013307948842989987,0.012016983234477276,0.03317218805845922,-0.023294933094254094,0.021178599637316994,0.011152807579590614,0.033901714333812026,0.0322794877251643,-0.011495734456542561,0.0024508169136088294,0.0147650304944957,0.014918704765316773,0.024882740709844947,0.002681499137721499,-0.02289286085933213,-0.015469137395489775,-0.012935420217145248,-0.01746830811871146,-0.03717776139486622,0.014620872385946773
carne_peix,-0.27861071834860657,-0.0014653415662692045,0.004449391250745738,-0.2194238627089717,0.03355481428567697,1.0,-0.06882799638544089,0.009400347831065334,0.11855028946548882,0.0797149808013466,-0.08446713806340951,-0.0061127730479316675,0.02650600309729161,-0.010538220198438836,-0.0852450089492338,-0.06362768554477125,0.08867226294192411,-0.1422197468247892,-0.03049908170858839,0.04920780904066213,-0.02158733040649568,0.03187089395327503,0.012612568801771572,0.017936638363687762,-0.02158748190986874,-0.014346804549879164,0.051012183113756916,0.027036911614366575,-0.058853097244037006,0.041382776066004406
tomar_suco,0.08786977173246006,-0.02666644628926137,-0.054500235926579474,0.08108131444519831,0.028400410900469013,-0.06882799638544089,1.0,-0.010276753844611212,-0.20545487663928422,-0.11037823115668535,0.17540891502637915,0.03510931700667851,0.015783010632072787,0.061655882206473354,0.17772916123660457,0.10087535906702473,-0.0874093045101464,0.060653449442683895,0.05549418821029584,0.003343926849321128,-0.038473544432796686,-0.0534279841799956,-0.011241242047842135,-0.011546876544210027,0.059562272495843324,0.058743157468247736,-0.10981529344372865,-0.06549596587253494,-0.11509666938148286,0.0007347790334617873
suco_tipo,-0.03656504569588834,-0.019516681376827074,-0.0338526083048147,0.012271484672319206,0.001831775610891602,0.009400347831065334,-0.010276753844611212,1.0,0.01813919875815971,-0.052926542682400865,0.0336577361616387,0.41618057870488145,-0.015364598039994175,0.15332038110276203,0.024791539726938094,0.012529983663947402,-0.03754596236635391,0.02943218136622016,0.10336983159187174,0.03315729018037997,-0.013558980832322095,-0.001158883571455025,-0.019047030905876054,-0.001801143145315728,0.05023706496098238,0.04326360685900747,-0.07433928364553503,-0.0811605616755032,-0.10379437955922662,0.013398135109439518
suco_natu,-0.10763503745828142,0.04120090533247506,0.1779556895067218,-0.010397118314881585,0.06651235382271811,0.11855028946548882,-0.20545487663928422,0.01813919875815971,1.0,0.2634096222721541,-0.0927734734223246,0.0011775210548458368,0.0928488150574128,-0.017590182825416835,-0.00011863012634349375,-0.031638347750195826,0.0529035053268171,0.04749447836487514,0.016460169273904056,0.01788363322736094,0.005993786258043014,0.028720322934743196,0.007438499080391192,-0.052188771922787563,0.011734457265813764,0.000654701352306003,0.02592510230145226,0.0017293222145297275,0.06875617594734668,0.005154290611929808
frutas,0.0694945371629736,0.12195504145241931,0.3609614055354784,-0.02682471697405413,0.05680695419944356,0.0797149808013466,-0.11037823115668535,-0.052926542682400865,0.2634096222721541,1.0,-0.13481495777045183,-0.05911297662703415,0.1465481195530177,-0.1107430987187119,0.010267077268362814,-0.058614420185638366,0.09827185745051029,-0.013181176812209114,-0.06927285115544374,-0.03543803900055113,0.04057380727356361,0.04246080982154197,0.009881321623409461,-0.07345379106353286,-0.07349158621239572,-0.0686984695872582,0.14700179377814596,0.07915224085933437,0.23968884644775368,-0.02282505742600484
refri,0.08484837225272503,-0.1081373676582407,-0.07159870222207636,0.1789116959206241,0.013307948842989987,-0.08446713806340951,0.17540891502637915,0.0336577361616387,-0.0927734734223246,-0.13481495777045183,1.0,-0.015434394738800877,-0.03908533902959359,0.06343204749263147,0.2338643606971989,0.2160751965970549,-0.18293588007688008,-0.013210638771203827,0.08448056878551694,0.021992105473740607,0.022613962464434048,-0.039806944445659444,-0.045404110060660106,-0.06923705097675883,0.11626264590884697,0.08878976428867766,-0.1656299262921799,-0.10717530597254919,0.0236463563746848,0.02032107860550037
refri_tipo,-0.05304547594792951,-0.012307748276289743,-0.04693374029467149,0.012383088987916744,0.012016983234477276,-0.0061127730479316675,0.03510931700667851,0.41618057870488145,0.0011775210548458368,-0.05911297662703415,-0.015434394738800877,1.0,-0.005092782640376242,0.20211354949087193,0.026637693916766323,0.015408046226200662,-0.022949081864222103,0.0632427630657035,0.12659315001169857,0.030932357173023024,-0.017750663115436393,0.03291460331763084,-0.025459386749897648,0.014790015709177737,0.04852817998381317,0.05224304444064551,-0.06842367217633644,-0.032389095035225066,-0.1496577970211251,0.02913347458723093
leite,-0.04789853234981425,0.053502584255021586,0.08795981069146722,0.003135985093529816,0.03317218805845922,0.02650600309729161,0.015783010632072787,-0.015364598039994175,0.0928488150574128,0.1465481195530177,-0.03908533902959359,-0.005092782640376242,1.0,-0.05624171945943317,0.046428948003768115,-0.012266988596938193,0.04559685026456543,0.0341151701214365,-0.04743957213133406,-0.003963636458220179,-0.02874031226900461,0.003363934899211622,0.0004599495541686526,-0.0037278974543270313,-0.049399075648854145,-0.0282640923659191,0.07852392932383413,0.0844255470226988,0.056539967980897804,0.006710232905332573
leite_tipo,-0.05372102605739859,-0.055888393719200236,-0.07502386255752556,0.05199944456562182,-0.023294933094254094,-0.010538220198438836,0.061655882206473354,0.15332038110276203,-0.017590182825416835,-0.1107430987187119,0.06343204749263147,0.20211354949087193,-0.05624171945943317,1.0,0.031233050190517163,0.026663852728543734,-0.0609545896979295,0.06472849443029843,0.07364524009007943,0.037952903081162455,0.0035244376128880984,-0.03026754594643301,0.005109833840221436,0.012169056291564301,0.06751099792955277,0.09102707768008261,-0.09505729167895018,-0.032814350328447935,-0.16258284844570992,0.013756392542541672
doces,0.0872822812569729,-0.011907522725819035,-0.0068345219749268524,0.09142861434410228,0.021178599637316994,-0.0852450089492338,0.17772916123660457,0.024791539726938094,-0.00011863012634349375,0.010267077268362814,0.2338643606971989,0.026637693916766323,0.046428948003768115,0.031233050190517163,1.0,0.16818137824729532,-0.10900582930716966,0.00093513196897053,0.09735510954784297,-0.01366608720075257,0.028942903727655393,0.003382152704802214,-0.010204748531554378,-0.059046739683489384,0.0846945020522623,0.040327036560099214,-0.10752265890933127,-0.023282993070467637,0.045420493943246536,-0.010082004572451137
lanches,0.07227608636860985,0.016849474134132437,-0.08182267946429007,0.03543355970374311,0.011152807579590614,-0.06362768554477125,0.10087535906702473,0.012529983663947402,-0.031638347750195826,-0.058614420185638366,0.2160751965970549,0.015408046226200662,-0.012266988596938193,0.026663852728543734,0.16818137824729532,1.0,-0.11648181849325794,-0.10713511566555584,0.04299122371054289,-0.0365029735686277,0.01224864592766122,-0.07768299503274828,-0.04843480510727959,-0.019587468241946807,0.06880426745483764,0.033549713611444425,-0.13398925856720262,-0.049096065374550205,0.03787398455343614,0.0030848476970367607
consum_sal,-0.05904804515254993,0.07261617577551498,0.05672606448634017,-0.1275939767240739,0.033901714333812026,0.08867226294192411,-0.0874093045101464,-0.03754596236635391,0.0529035053268171,0.09827185745051029,-0.18293588007688008,-0.022949081864222103,0.04559685026456543,-0.0609545896979295,-0.10900582930716966,-0.11648181849325794,1.0,0.016138371358578846,-0.09383121456592129,-0.011731156502302928,-0.04038738667253167,0.018068087597816418,0.06051964260934239,0.05840098874070365,-0.1738859468591616,-0.06696105988872653,0.16281551986219367,0.08721629926629794,-0.014932668691506928,0.015842997992403744
feijao,0.070880636584541,-0.12435993914507129,0.07106759715899338,0.13225160551774687,0.0322794877251643,-0.1422197468247892,0.060653449442683895,0.02943218136622016,0.04749447836487514,-0.013181176812209114,-0.013210638771203827,0.0632427630657035,0.0341151701214365,0.06472849443029843,0.00093513196897053,-0.10713511566555584,0.016138371358578846,1.0,-0.014739191052410883,0.04899831691684067,-0.06532741196698447,0.033981242926754474,0.026810061770965222,0.013843586651748497,-0.013966182419644528,0.018277410068787442,0.03855407061598747,0.007172798687477325,-0.14084157955653712,-0.009065945764689871
diabetes,-0.023380426474610944,-0.030525520164342637,-0.029500774987752408,0.051128101122671875,-0.011495734456542561,-0.03049908170858839,0.05549418821029584,0.10336983159187174,0.016460169273904056,-0.06927285115544374,0.08448056878551694,0.12659315001169857,-0.04743957213133406,0.07364524009007943,0.09735510954784297,0.04299122371054289,-0.09383121456592129,-0.014739191052410883,1.0,0.042421779905993995,0.059344330242111575,0.023090436658821437,-0.02285419041566439,-0.14206770043491457,0.2618447174758764,0.20640264527157176,-0.1700422335168709,,-0.030392103885407012,0.0011129262227335586
depressao,-0.0824600838839041,-0.14663473415507225,-0.03014781970351922,0.02937380498792309,0.0024508169136088294,0.04920780904066213,0.003343926849321128,0.03315729018037997,0.01788363322736094,-0.03543803900055113,0.021992105473740607,0.030932357173023024,-0.003963636458220179,0.037952903081162455,-0.01366608720075257,-0.0365029735686277,-0.011731156502302928,0.04899831691684067,0.042421779905993995,1.0,0.03528859772992732,0.2202758581857706,0.08043535231819149,-0.18510768670117816,0.09356868212094126,0.11795509781950093,-0.06786381008571894,0.04469651053465562,-0.04578375797953263,0.02535675500448759
esquizo,0.05440429359048241,0.1373479260719368,0.04916241176882193,0.039483283875654966,0.0147650304944957,-0.02158733040649568,-0.038473544432796686,-0.013558980832322095,0.005993786258043014,0.04057380727356361,0.022613962464434048,-0.017750663115436393,-0.02874031226900461,0.0035244376128880984,0.028942903727655393,0.01224864592766122,-0.04038738667253167,-0.06532741196698447,0.059344330242111575,0.03528859772992732,1.0,0.13455101525492447,0.05714519699875582,-0.16969863061172652,-0.01057594487278353,0.009217270514277289,0.03457847571948281,0.046287383679911726,0.10859823512012325,-0.061196543041711224
